cliente_id,tipo,emitido,monto,periodicidad,periodo_desde,periodo_hasta,vence,referencia
AR001,RECIBO_SUELDO,2026-09-05,2850000,MENSUAL,2026-08-01,2026-08-31,,Empleador S.A.
AR001,CONSTANCIA_CUIT,2026-03-10,0,UNICA,,,,ARCA
AR016,CERTIFICACION_INGRESOS,2026-07-20,900000,MENSUAL,2026-06-01,2026-06-30,,Cdor. publico
AR021,CERTIFICACION_INGRESOS,2026-08-02,1400000,MENSUAL,2026-07-01,2026-07-31,,Cdor. publico
AR003,RECIBO_SUELDO,2026-09-04,700000,MENSUAL,2026-08-01,2026-08-31,,Estudio de diseno
AR003,ESCRITURA,2026-05-22,95000000,UNICA,2026-05-18,2026-05-18,,Venta Serrano 890
AR026,BALANCE,2026-04-30,210000000,ANUAL,2025-01-01,2025-12-31,,Ejercicio 2025
AR012,RECIBO_SUELDO,2026-09-03,1900000,MENSUAL,2026-08-01,2026-08-31,,Hospital
AR012,BALANCE,2026-06-15,140000000,ANUAL,2025-01-01,2025-12-31,,Centro Medico del Litoral S.R.L.
AR008,RECIBO_JUBILACION,2022-04-10,380000,MENSUAL,2022-03-01,2022-03-31,,ANSES
